k0,elasticity,growth,inflation,demurrage,k,net,burn,gross
0.2,1,0.06,0.02,0.31,0.143784746686,0.0107984844903,0.0412257412808,0.0520242257711
0.2,1,0.06,0.02,0.315,0.143067617271,0.0107446268242,0.0416817419906,0.0524263688148
0.2,1,0.06,0.02,0.32,0.142354064553,0.0106910377744,0.042132168569,0.0528232063434
0.2,1,0.06,0.02,0.325,0.141644070694,0.010637716001,0.0425770652751,0.0532147812761
0.2,1,0.06,0.02,0.33,0.140937617944,0.0105846601711,0.043016476065,0.0536011362361
0.2,1,0.06,0.02,0.335,0.140234688642,0.0105318689583,0.0434504445939,0.0539823135522
0.2,1,0.06,0.02,0.34,0.139535265214,0.0104793410427,0.0438790142183,0.054358355261
0.2,1,0.06,0.02,0.345,0.138839330176,0.0104270751112,0.0443022279972,0.0547293031084
0.2,1,0.06,0.02,0.35,0.138146866127,0.0103750698572,0.0447201286946,0.0550951985518
0.2,1,0.06,0.02,0.355,0.137457855758,0.0103233239804,0.0451327587811,0.0554560827615
0.2,1,0.06,0.02,0.36,0.136772281842,0.0102718361872,0.0455401604359,0.0558119966231
0.2,1,0.06,0.02,0.365,0.136090127241,0.0102206051905,0.0459423755484,0.0561629807389
0.2,1,0.06,0.02,0.37,0.1354113749,0.0101696297094,0.0463394457204,0.0565090754298
0.2,1,0.06,0.02,0.375,0.13473600785,0.0101189084697,0.0467314122675,0.0568503207372
0.2,1,0.06,0.02,0.38,0.134064009207,0.0100684402031,0.0471183162215,0.0571867564246
0.2,1,0.06,0.02,0.385,0.133395362172,0.0100182236481,0.0475001983316,0.0575184219797
0.2,1,0.06,0.02,0.39,0.132730050027,0.00996825754922,0.0478770990664,0.0578453566157
0.2,1,0.06,0.02,0.395,0.132068056141,0.00991854065728,0.0482490586161,0.0581675992733
0.2,1,0.06,0.02,0.4,0.131409363963,0.00986907172937,0.0486161168935,0.0584851886228
0.2,4,0.01,0.02,0,0.184623269277,0.00541217504579,0,0.00541217504579
0.2,4,0.01,0.02,0.005,0.180967483607,0.00530500679959,0.000878312384038,0.00618331918363
0.2,4,0.01,0.02,0.01,0.177384087343,0.00519996062684,0.00172184126717,0.00692180189401
0.2,4,0.01,0.02,0.015,0.17387164708,0.00509699450768,0.00253161978858,0.00762861429626
0.2,4,0.01,0.02,0.02,0.170428757793,0.00499606725428,0.00330865381078,0.00830472106506
0.2,4,0.01,0.02,0.025,0.167054042282,0.00489713849439,0.0040539225947,0.00895106108909
